"album"|"album_url"
"La Industria del Poder"|"https://is5-ssl.mzstatic.com/image/thumb/Music62/v4/ac/c4/0f/acc40f05-7e77-95a3-0143-c4be9a560a9f/source/512x512.jpg"
"Justicia o Resistencia (Remasterizado)"|"https://is3-ssl.mzstatic.com/image/thumb/Music113/v4/61/e2/50/61e25059-adaf-a839-2224-5b2bbc30894f/source/512x512.jpg"
"Esp¡ritu Combativo"|"https://is4-ssl.mzstatic.com/image/thumb/Music123/v4/06/ae/c1/06aec14f-4d2f-cb5b-caae-8403c26e9caf/source/512x512.jpg"
"Desde las tinieblas"|"https://is5-ssl.mzstatic.com/image/thumb/Music18/v4/17/f6/96/17f6964a-7110-4b23-650a-f3346463ac8d/source/512x512.jpg"
"Choir of Horrors"|"https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/14/2a/d6/142ad6fd-1207-f10b-e01d-5f72b85ecea9/source/512x512.jpg"
"Extreme Cold Weather"|"https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/6a/c7/d9/6ac7d952-f4f2-029b-e1eb-8c626f1639c4/source/512x512.jpg"
"Corpsophagia"|"https://is3-ssl.mzstatic.com/image/thumb/Music/v4/0d/4c/da/0d4cda49-c17a-c3d8-3969-e9e945a17c5f/source/512x512.jpg"
"The Aethyrs' Call"|"https://is2-ssl.mzstatic.com/image/thumb/Music5/v4/ad/34/21/ad342182-8dad-a8d3-0b08-99de3966a2cb/source/512x512.jpg"
"Winter Spells"|"https://is1-ssl.mzstatic.com/image/thumb/Music62/v4/57/7b/a5/577ba5bc-50c6-a473-3d9b-7c7bad26b8e8/source/512x512.jpg"
"Tormenta El‚ctrica"|"https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/fd/ef/f2/fdeff22f-d2f9-3600-d66b-491197bf700f/source/512x512.jpg"
"VII"|"https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/4e/6b/5e/4e6b5e55-be68-f42d-201d-93d168beb3ba/source/512x512.jpg"
"The forgotten Kingdom"|"https://is2-ssl.mzstatic.com/image/thumb/Music/v4/fd/91/80/fd918084-9a41-188f-765a-89676f6c509c/source/512x512.jpg"
"La Llave de la Puerta Secreta"|"https://is3-ssl.mzstatic.com/image/thumb/Music/v4/ec/09/be/ec09be79-6cd4-611f-245b-ad11b54c9629/source/512x512.jpg"
"El Camino del Fuego"|"https://is3-ssl.mzstatic.com/image/thumb/Music/v4/ee/fe/75/eefe753e-5659-1c84-12f7-3d565cda56d6/source/512x512.jpg"
"El Libro Oculto - EP"|"https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/bf/e6/5b/bfe65b0f-e7cc-29b4-4c2f-01f2a9438ea1/source/512x512.jpg"
"Guerrero del Arco Iris"|"https://is4-ssl.mzstatic.com/image/thumb/Music/v4/0c/52/73/0c527315-7b7b-9af8-d951-d647a7c6f03e/source/512x512.jpg"
"XX Aniversario en Vivo - Magos, Espadas y Rosas"|"https://is4-ssl.mzstatic.com/image/thumb/Music/v4/28/34/e5/2834e559-e1a0-e10b-d1ec-74f4e4b8207c/source/512x512.jpg"
"Entre El Cielo Y El Infierno"|"https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/fa/8f/b2/fa8fb2ec-599d-81fb-023b-332e40418932/source/512x512.jpg"
"El Reino Olvidado"|"https://is5-ssl.mzstatic.com/image/thumb/Music2/v4/ee/91/f1/ee91f1b7-fd92-a9c5-e871-5cc72301f1e6/source/512x512.jpg"
"A Moment of Silence"|"https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/8a/6a/c5/8a6ac5ca-d496-6c63-c661-2f8a37137ea2/source/512x512.jpg"
